Materials,adsorption_energy
Cu_1@RuO2(110)_1#OOH,4.3408
Cu_1@RuO2(110)_2#O,1.7742
Cu_1@RuO2(110)_2#OH,0.5511
Cu_1@RuO2(110)_2#OOH,3.4426
Cu_1@RuO2(111)_1#OH,1.2961
Cu_1@RuO2(111)_1#OOH,4.3391
Cu_2@IrO2(001)_1#O,2.3719
Cu_2@IrO2(001)_1#OH,0.7741
Cu_2@IrO2(001)_1#OOH,3.7268
Cu_2@IrO2(110)_1#O,1.4763
Cu_2@IrO2(110)_1#OH,-0.2548
Cu_2@IrO2(110)_1#OOH,2.8189
Cu_2@IrO2(111)_1#O,2.1827
Cu_2@IrO2(111)_1#OH,0.6952
Cu_2@IrO2(111)_1#OOH,3.5781
Cu_2@RuO2(110)_1#O,1.6366
Cu_2@RuO2(110)_1#OH,0.4973
Cu_2@RuO2(110)_1#OOH,3.5086
Cu_2@RuO2(111)_1#O,1.3791
Cu_2@RuO2(111)_1#OH,0.7508
Cu_2@RuO2(111)_1#OOH,3.85
Fe_1@IrO2(001)_1#O,3.0154
Fe_1@IrO2(001)_1#OH,1.0749
Fe_1@IrO2(001)_1#OOH,3.7354
Fe_1@IrO2(100)_1#O,2.5545
Fe_1@IrO2(100)_1#OH,0.5965
Fe_1@IrO2(100)_1#OOH,3.5728
Fe_1@IrO2(100)_2#O,1.6021
Fe_1@IrO2(100)_2#OH,0.0421
Fe_1@IrO2(100)_2#OOH,3.0151
Fe_1@IrO2(101)_1#O,2.7445
Fe_1@IrO2(101)_1#OH,0.9626
Fe_1@IrO2(101)_1#OOH,3.8491
Fe_1@IrO2(101)_2#O,2.1118
Fe_1@IrO2(101)_2#OH,0.359
Fe_1@IrO2(101)_2#OOH,3.1372
Fe_1@IrO2(110)_1#O,2.6486
Fe_1@IrO2(110)_1#OH,0.9521
Fe_1@IrO2(110)_1#OOH,3.9941
Fe_1@IrO2(110)_2#O,1.5299
Fe_1@IrO2(110)_2#OH,-0.0814
Fe_1@IrO2(110)_2#OOH,2.8928
Fe_1@IrO2(111)_1#O,2.7935
Fe_1@IrO2(111)_1#OH,1.1151
Fe_1@IrO2(111)_1#OOH,3.793
Fe_1@RuO2(001)_1#O,2.9971
Fe_1@RuO2(001)_1#OH,1.1456
Fe_1@RuO2(001)_1#OOH,3.8424
Fe_1@RuO2(100)_1#O,2.6061
Fe_1@RuO2(100)_1#OH,0.7603
Fe_1@RuO2(100)_1#OOH,3.7514
Fe_1@RuO2(100)_2#O,1.7883
Fe_1@RuO2(100)_2#OH,0.5549
Fe_1@RuO2(100)_2#OOH,3.454
Fe_1@RuO2(101)_1#O,2.6793
Fe_1@RuO2(101)_1#OH,1.0685
Fe_1@RuO2(101)_1#OOH,3.8671
Fe_1@RuO2(101)_2#O,1.8593
Fe_1@RuO2(101)_2#OH,0.5859
Fe_1@RuO2(101)_2#OOH,3.6272
Fe_1@RuO2(110)_1#O,2.6625
Fe_1@RuO2(110)_1#OH,0.9553
Fe_1@RuO2(110)_1#OOH,4.0372
Fe_1@RuO2(110)_2#O,1.5955
Fe_1@RuO2(110)_2#OH,0.4684
Fe_1@RuO2(110)_2#OOH,3.3681
Fe_1@RuO2(111)_1#O,2.7934
Fe_1@RuO2(111)_1#OH,1.1617
Fe_1@RuO2(111)_1#OOH,3.8602
Fe_2@IrO2(001)_1#O,2.2783
Fe_2@IrO2(001)_1#OH,0.6614
Fe_2@IrO2(001)_1#OOH,3.5958
Fe_2@IrO2(110)_1#O,1.5883
Fe_2@IrO2(110)_1#OH,-0.2109
Fe_2@IrO2(110)_1#OOH,2.7583
Fe_2@IrO2(111)_1#O,1.942
Fe_2@IrO2(111)_1#OH,0.3649
Fe_2@IrO2(111)_1#OOH,3.3688
Fe_2@RuO2(001)_1#OH,0.5926
Fe_2@RuO2(001)_1#OOH,3.5538
Fe_2@RuO2(110)_1#O,1.5338
Fe_2@RuO2(110)_1#OH,0.3586
Fe_2@RuO2(110)_1#OOH,3.3802
Fe_2@RuO2(111)_1#O,1.8246
Fe_2@RuO2(111)_1#OH,0.7417
Fe_2@RuO2(111)_1#OOH,3.7335
Ir_1@RuO2(001)_1#O,2.2869
Ir_1@RuO2(001)_1#OH,0.7274
Ir_1@RuO2(001)_1#OOH,3.723
Ir_1@RuO2(100)_1#O,1.7737
Ir_1@RuO2(100)_1#OH,0.1754
Ir_1@RuO2(100)_1#OOH,3.0714
