Materials adsorption_energy
W_1@IrO2(110)_2#O 1.59 
W_1@IrO2(110)_2#OH -0.12 
W_1@IrO2(110)_2#OOH 2.82 
W_1@IrO2(111)_1#O 0.52 
W_1@IrO2(111)_1#OH -1.00 
W_1@IrO2(111)_1#OOH 2.46 
W_1@RuO2(001)_1#O 1.39 
W_1@RuO2(001)_1#OH -0.36 
W_1@RuO2(001)_1#OOH 3.03 
W_1@RuO2(100)_1#O 1.15 
W_1@RuO2(100)_1#OH -0.25 
W_1@RuO2(100)_1#OOH 3.22 
W_1@RuO2(100)_2#O 1.41 
W_1@RuO2(100)_2#OH 0.22 
W_1@RuO2(100)_2#OOH 3.18 
W_1@RuO2(101)_1#O 0.60 
W_1@RuO2(101)_1#OH -0.42 
W_1@RuO2(101)_1#OOH 3.03 
W_1@RuO2(101)_2#O 1.68 
W_1@RuO2(101)_2#OH 0.44 
W_1@RuO2(101)_2#OOH 3.22 
W_1@RuO2(110)_1#O 0.54 
W_1@RuO2(110)_1#OH -0.35 
W_1@RuO2(110)_1#OOH 3.12 
W_1@RuO2(110)_2#O 1.36 
W_1@RuO2(110)_2#OH 0.21 
W_1@RuO2(110)_2#OOH 3.18 
W_1@RuO2(111)_1#O 0.62 
W_1@RuO2(111)_1#OH -0.65 
W_1@RuO2(111)_1#OOH 2.78 
W_2@IrO2(001)_1#O 2.33 
W_2@IrO2(001)_1#OH 0.73 
W_2@IrO2(001)_1#OOH 3.72 
W_2@IrO2(110)_1#O 1.58 
W_2@IrO2(110)_1#OH -0.29 
W_2@IrO2(110)_1#OOH 2.70 
W_2@IrO2(111)_1#O 1.67 
W_2@IrO2(111)_1#OH -0.09 
W_2@IrO2(111)_1#OOH 2.86 
W_2@RuO2(001)_1#O 1.67 
W_2@RuO2(001)_1#OH 0.35 
W_2@RuO2(001)_1#OOH 3.32 
W_2@RuO2(110)_1#O 1.40 
W_2@RuO2(110)_1#OH 0.19 
W_2@RuO2(110)_1#OOH 3.12 
W_2@RuO2(111)_1#O 1.08 
W_2@RuO2(111)_1#OH -0.08 
W_2@RuO2(111)_1#OOH 2.87 
Zn_1@IrO2(100)_1#O 4.35 
Zn_1@IrO2(100)_1#OH 1.49 
Zn_1@IrO2(100)_1#OOH 4.18 
Zn_1@IrO2(100)_2#O 1.97 
Zn_1@IrO2(101)_1#OH 1.52 
Zn_1@IrO2(101)_1#OOH 4.46 
Zn_1@IrO2(110)_1#O 4.80 
Zn_1@IrO2(110)_1#OH 1.67 
Zn_1@IrO2(110)_1#OOH 4.47 
Zn_1@IrO2(110)_2#O 1.61 
Zn_1@IrO2(110)_2#OOH 2.87 
Zn_1@IrO2(111)_1#O 4.57 
Zn_1@IrO2(111)_1#OH 1.40 
Zn_1@IrO2(111)_1#OOH 4.38 
Zn_1@RuO2(100)_1#O 4.19 
Zn_1@RuO2(100)_1#OH 1.48 
Zn_1@RuO2(100)_1#OOH 4.23 
Zn_1@RuO2(101)_1#OH 1.46 
Zn_1@RuO2(101)_1#OOH 4.44 
Zn_1@RuO2(110)_1#O 4.71 
Zn_1@RuO2(110)_1#OH 1.67 
Zn_1@RuO2(110)_1#OOH 4.54 
Zn_1@RuO2(110)_2#O 1.85 
Zn_1@RuO2(110)_2#OH 0.57 
Zn_1@RuO2(110)_2#OOH 3.44 
Zn_1@RuO2(111)_1#O 4.10 
Zn_1@RuO2(111)_1#OH 0.97 
Zn_1@RuO2(111)_1#OOH 4.09 
Zn_2@IrO2(110)_1#O 1.55 
Zn_2@IrO2(110)_1#OH -0.21 
Zn_2@IrO2(110)_1#OOH 2.79 
Zn_2@IrO2(111)_1#O 1.85 
Zn_2@IrO2(111)_1#OH 0.44 
Zn_2@IrO2(111)_1#OOH 3.30 
Zn_2@RuO2(110)_1#O 1.61 
Zn_2@RuO2(110)_1#OH 0.48 
Zn_2@RuO2(110)_1#OOH 3.50 
Zn_2@RuO2(111)_1#O 1.32 
Zn_2@RuO2(111)_1#OH 0.60 
Zn_2@RuO2(111)_1#OOH 3.68 
