Materials adsorption_energy
Cu_1@RuO2(110)_1#OOH 4.34 
Cu_1@RuO2(110)_2#O 1.77 
Cu_1@RuO2(110)_2#OH 0.55 
Cu_1@RuO2(110)_2#OOH 3.44 
Cu_1@RuO2(111)_1#OH 1.30 
Cu_1@RuO2(111)_1#OOH 4.34 
Cu_2@IrO2(001)_1#O 2.37 
Cu_2@IrO2(001)_1#OH 0.77 
Cu_2@IrO2(001)_1#OOH 3.73 
Cu_2@IrO2(110)_1#O 1.48 
Cu_2@IrO2(110)_1#OH -0.25 
Cu_2@IrO2(110)_1#OOH 2.82 
Cu_2@IrO2(111)_1#O 2.18 
Cu_2@IrO2(111)_1#OH 0.70 
Cu_2@IrO2(111)_1#OOH 3.58 
Cu_2@RuO2(110)_1#O 1.64 
Cu_2@RuO2(110)_1#OH 0.50 
Cu_2@RuO2(110)_1#OOH 3.51 
Cu_2@RuO2(111)_1#O 1.38 
Cu_2@RuO2(111)_1#OH 0.75 
Cu_2@RuO2(111)_1#OOH 3.85 
Fe_1@IrO2(001)_1#O 3.02 
Fe_1@IrO2(001)_1#OH 1.07 
Fe_1@IrO2(001)_1#OOH 3.74 
Fe_1@IrO2(100)_1#O 2.55 
Fe_1@IrO2(100)_1#OH 0.60 
Fe_1@IrO2(100)_1#OOH 3.57 
Fe_1@IrO2(100)_2#O 1.60 
Fe_1@IrO2(100)_2#OH 0.04 
Fe_1@IrO2(100)_2#OOH 3.02 
Fe_1@IrO2(101)_1#O 2.74 
Fe_1@IrO2(101)_1#OH 0.96 
Fe_1@IrO2(101)_1#OOH 3.85 
Fe_1@IrO2(101)_2#O 2.11 
Fe_1@IrO2(101)_2#OH 0.36 
Fe_1@IrO2(101)_2#OOH 3.14 
Fe_1@IrO2(110)_1#O 2.65 
Fe_1@IrO2(110)_1#OH 0.95 
Fe_1@IrO2(110)_1#OOH 3.99 
Fe_1@IrO2(110)_2#O 1.53 
Fe_1@IrO2(110)_2#OH -0.08 
Fe_1@IrO2(110)_2#OOH 2.89 
Fe_1@IrO2(111)_1#O 2.79 
Fe_1@IrO2(111)_1#OH 1.12 
Fe_1@IrO2(111)_1#OOH 3.79 
Fe_1@RuO2(001)_1#O 3.00 
Fe_1@RuO2(001)_1#OH 1.15 
Fe_1@RuO2(001)_1#OOH 3.84 
Fe_1@RuO2(100)_1#O 2.61 
Fe_1@RuO2(100)_1#OH 0.76 
Fe_1@RuO2(100)_1#OOH 3.75 
Fe_1@RuO2(100)_2#O 1.79 
Fe_1@RuO2(100)_2#OH 0.55 
Fe_1@RuO2(100)_2#OOH 3.45 
Fe_1@RuO2(101)_1#O 2.68 
Fe_1@RuO2(101)_1#OH 1.07 
Fe_1@RuO2(101)_1#OOH 3.87 
Fe_1@RuO2(101)_2#O 1.86 
Fe_1@RuO2(101)_2#OH 0.59 
Fe_1@RuO2(101)_2#OOH 3.63 
Fe_1@RuO2(110)_1#O 2.66 
Fe_1@RuO2(110)_1#OH 0.96 
Fe_1@RuO2(110)_1#OOH 4.04 
Fe_1@RuO2(110)_2#O 1.60 
Fe_1@RuO2(110)_2#OH 0.47 
Fe_1@RuO2(110)_2#OOH 3.37 
Fe_1@RuO2(111)_1#O 2.79 
Fe_1@RuO2(111)_1#OH 1.16 
Fe_1@RuO2(111)_1#OOH 3.86 
Fe_2@IrO2(001)_1#O 2.28 
Fe_2@IrO2(001)_1#OH 0.66 
Fe_2@IrO2(001)_1#OOH 3.60 
Fe_2@IrO2(110)_1#O 1.59 
Fe_2@IrO2(110)_1#OH -0.21 
Fe_2@IrO2(110)_1#OOH 2.76 
Fe_2@IrO2(111)_1#O 1.94 
Fe_2@IrO2(111)_1#OH 0.36 
Fe_2@IrO2(111)_1#OOH 3.37 
Fe_2@RuO2(001)_1#OH 0.59 
Fe_2@RuO2(001)_1#OOH 3.55 
Fe_2@RuO2(110)_1#O 1.53 
Fe_2@RuO2(110)_1#OH 0.36 
Fe_2@RuO2(110)_1#OOH 3.38 
Fe_2@RuO2(111)_1#O 1.82 
Fe_2@RuO2(111)_1#OH 0.74 
Fe_2@RuO2(111)_1#OOH 3.73 
Ir_1@RuO2(001)_1#O 2.29 
Ir_1@RuO2(001)_1#OH 0.73 
Ir_1@RuO2(001)_1#OOH 3.72 
Ir_1@RuO2(100)_1#O 1.77 
Ir_1@RuO2(100)_1#OH 0.18 
Ir_1@RuO2(100)_1#OOH 3.07 
Ir_1@RuO2(100)_2#O 1.62 
Ir_1@RuO2(100)_2#OH 0.48 
Ir_1@RuO2(100)_2#OOH 3.29 
Ir_1@RuO2(101)_1#O 2.08 
Ir_1@RuO2(101)_1#OH 0.25 
Ir_1@RuO2(101)_1#OOH 3.62 
Ir_1@RuO2(101)_2#O 1.76 
Ir_1@RuO2(101)_2#OH 0.43 
Ir_1@RuO2(101)_2#OOH 3.53 
Ir_1@RuO2(110)_1#O 1.88 
Ir_1@RuO2(110)_1#OH 0.15 
Ir_1@RuO2(110)_1#OOH 3.12 
Ir_1@RuO2(110)_2#O 1.62 
Ir_1@RuO2(110)_2#OH 0.40 
Ir_1@RuO2(110)_2#OOH 3.30 
Ir_1@RuO2(111)_1#O 1.96 
Ir_1@RuO2(111)_1#OH 0.30 
Ir_1@RuO2(111)_1#OOH 3.29 
Ir_2@IrO2(001)_1#O 2.25 
Ir_2@IrO2(001)_1#OH 0.61 
Ir_2@IrO2(001)_1#OOH 3.59 
Ir_2@RuO2(001)_1#O 1.64 
Ir_2@RuO2(001)_1#OH 0.41 
Ir_2@RuO2(001)_1#OOH 3.40 
Ir_2@RuO2(110)_1#O 1.55 
Ir_2@RuO2(110)_1#OH 0.34 
Ir_2@RuO2(110)_1#OOH 3.31 
Ir_2@RuO2(111)_1#O 1.54 
Ir_2@RuO2(111)_1#OH 0.41 
Ir_2@RuO2(111)_1#OOH 3.39 
IrO2(001)#O 2.25 
IrO2(001)#OH 0.61 
IrO2(001)#OOH 3.59 
IrO2(100)#O 1.62 
IrO2(100)#OH -0.07 
IrO2(100)#OOH 2.85 
IrO2(101)#O 1.99 
IrO2(101)#OH 0.15 
IrO2(101)#OOH 3.07 
IrO2(110)#O 1.69 
IrO2(110)#OH -0.06 
IrO2(110)#OOH 2.78 
IrO2(111)#O 1.96 
IrO2(111)#OH 0.25 
IrO2(111)#OOH 3.23 
Mn_1@IrO2(001)_1#O 2.16 
Mn_1@IrO2(001)_1#OH 0.66 
Mn_1@IrO2(001)_1#OOH 3.59 
Mn_1@IrO2(100)_1#O 1.80 
Mn_1@IrO2(100)_1#OH 0.66 
Mn_1@IrO2(100)_1#OOH 3.42 
Mn_1@IrO2(100)_2#O 1.44 
Mn_1@IrO2(100)_2#OH -0.17 
Mn_1@IrO2(100)_2#OOH 2.81 
Mn_1@IrO2(101)_1#O 1.75 
Mn_1@IrO2(101)_1#OH 0.54 
Mn_1@IrO2(101)_1#OOH 3.44 
Mn_1@IrO2(101)_2#O 1.82 
Mn_1@IrO2(101)_2#OH 0.09 
Mn_1@IrO2(101)_2#OOH 2.97 
Mn_1@IrO2(110)_1#O 1.43 
Mn_1@IrO2(110)_1#OH 0.47 
Mn_1@IrO2(110)_1#OOH 3.28 
Mn_1@IrO2(110)_2#O 1.48 
Mn_1@IrO2(110)_2#OH -0.14 
Mn_1@IrO2(110)_2#OOH 2.79 
Mn_1@IrO2(111)_1#O 2.00 
Mn_1@IrO2(111)_1#OH 0.69 
Mn_1@IrO2(111)_1#OOH 3.76 
Mn_1@RuO2(001)_1#O 2.21 
Mn_1@RuO2(001)_1#OH 0.85 
Mn_1@RuO2(001)_1#OOH 3.79 
Mn_1@RuO2(100)_1#O 2.01 
Mn_1@RuO2(100)_1#OH 0.71 
Mn_1@RuO2(100)_1#OOH 3.75 
Mn_1@RuO2(100)_2#O 1.51 
Mn_1@RuO2(100)_2#OH 0.30 
Mn_1@RuO2(100)_2#OOH 3.14 
Mn_1@RuO2(101)_1#O 1.98 
Mn_1@RuO2(101)_1#OH 0.75 
Mn_1@RuO2(101)_1#OOH 3.60 
Mn_1@RuO2(101)_2#O 1.79 
Mn_1@RuO2(101)_2#OH 0.48 
Mn_1@RuO2(101)_2#OOH 3.68 
Mn_1@RuO2(110)_1#O 1.76 
Mn_1@RuO2(110)_1#OH 0.76 
Mn_1@RuO2(110)_1#OOH 3.70 
Mn_1@RuO2(110)_2#O 1.48 
Mn_1@RuO2(110)_2#OH 0.35 
Mn_1@RuO2(110)_2#OOH 3.32 
Mn_1@RuO2(111)_1#O 2.06 
Mn_1@RuO2(111)_1#OH 0.70 
Mn_1@RuO2(111)_1#OOH 3.60 
Mn_2@IrO2(001)_1#O 2.31 
Mn_2@IrO2(001)_1#OH 0.68 
Mn_2@IrO2(001)_1#OOH 3.65 
Mn_2@IrO2(110)_1#O 1.62 
Mn_2@IrO2(110)_1#OH -0.20 
Mn_2@IrO2(110)_1#OOH 2.80 
Mn_2@IrO2(111)_1#O 1.96 
Mn_2@IrO2(111)_1#OH 0.20 
Mn_2@IrO2(111)_1#OOH 3.16 
Mn_2@RuO2(001)_1#O 2.26 
Mn_2@RuO2(001)_1#OH 0.92 
Mn_2@RuO2(001)_1#OOH 3.89 
Mn_2@RuO2(110)_1#O 1.54 
Mn_2@RuO2(110)_1#OH 0.37 
Mn_2@RuO2(110)_1#OOH 3.35 
Mn_2@RuO2(111)_1#O 1.76 
Mn_2@RuO2(111)_1#OH 0.44 
Mn_2@RuO2(111)_1#OOH 3.37 
Mo_1@IrO2(001)_1#O 1.80 
Mo_1@IrO2(001)_1#OH 0.03 
Mo_1@IrO2(001)_1#OOH 3.29 
Mo_1@IrO2(100)_1#O 0.72 
Mo_1@IrO2(100)_1#OH -0.29 
Mo_1@IrO2(100)_1#OOH 3.01 
Mo_1@IrO2(100)_2#O 1.46 
Mo_1@IrO2(100)_2#OH -0.21 
Mo_1@IrO2(100)_2#OOH 2.82 
Mo_1@IrO2(101)_1#O 0.31 
Mo_1@IrO2(101)_1#OH -0.75 
Mo_1@IrO2(101)_1#OOH 2.68 
Mo_1@IrO2(101)_2#O 2.01 
Mo_1@IrO2(101)_2#OH 0.11 
Mo_1@IrO2(101)_2#OOH 2.99 
Mo_1@IrO2(110)_1#O 0.43 
Mo_1@IrO2(110)_1#OH -0.35 
Mo_1@IrO2(110)_1#OOH 3.11 
Mo_1@IrO2(110)_2#O 1.58 
Mo_1@IrO2(110)_2#OH -0.10 
Mo_1@IrO2(110)_2#OOH 2.90 
Mo_1@IrO2(111)_1#O 0.77 
Mo_1@IrO2(111)_1#OH -0.62 
Mo_1@IrO2(111)_1#OOH 2.74 
Mo_1@RuO2(001)_1#O 1.50 
Mo_1@RuO2(001)_1#OH 0.01 
Mo_1@RuO2(001)_1#OOH 3.31 
Mo_1@RuO2(100)_1#O 1.19 
Mo_1@RuO2(100)_1#OH 0.03 
Mo_1@RuO2(100)_1#OOH 3.35 
Mo_1@RuO2(100)_2#O 1.42 
Mo_1@RuO2(100)_2#OH 0.25 
Mo_1@RuO2(100)_2#OOH 3.23 
Mo_1@RuO2(101)_1#O 0.77 
Mo_1@RuO2(101)_1#OH -0.13 
Mo_1@RuO2(101)_1#OOH 3.20 
Mo_1@RuO2(101)_2#O 1.76 
Mo_1@RuO2(101)_2#OH 0.47 
Mo_1@RuO2(101)_2#OOH 3.26 
Mo_1@RuO2(110)_1#O 0.81 
Mo_1@RuO2(110)_1#OH 0.06 
Mo_1@RuO2(110)_1#OOH 3.38 
Mo_1@RuO2(110)_2#O 1.43 
Mo_1@RuO2(110)_2#OH 0.30 
Mo_1@RuO2(110)_2#OOH 3.30 
Mo_1@RuO2(111)_1#O 0.63 
Mo_1@RuO2(111)_1#OH -0.45 
Mo_1@RuO2(111)_1#OOH 2.80 
Mo_2@IrO2(001)_1#O 2.35 
